,ds,yhat,yhat_lower,yhat_upper
825,2024-04-11,3689.281693642677,3524.4233690284555,3842.2309481674347
826,2024-04-12,3684.8782668322733,3534.6886821824273,3851.5260100711002
827,2024-04-15,3673.0555312590727,3509.5267668996685,3838.470902997581
828,2024-04-16,3667.9936276409167,3514.733621876562,3831.2407515148184
829,2024-04-17,3667.8268590311473,3495.9880784965003,3833.1282568288884
830,2024-04-18,3663.9057704690767,3495.2930299854625,3823.236601296453
831,2024-04-19,3657.653899916816,3475.7831287244535,3820.626565303445
832,2024-04-22,3642.3154526449953,3462.187530511121,3810.3046563257194
833,2024-04-23,3636.737053279174,3464.118977919032,3816.0577683355377
834,2024-04-24,3636.36174823926,3458.9447125613574,3793.7198238819587
835,2024-04-25,3632.5239282887906,3451.045074671924,3807.1916997111703
836,2024-04-26,3626.628886227698,3443.67036851872,3807.4752889061
837,2024-04-29,3613.799020970926,3445.827629005458,3785.6335174864657
838,2024-04-30,3609.46454180433,3436.8029300089843,3791.4676801062315
839,2024-05-01,3610.5005128986386,3417.169069124725,3786.6531872379796
840,2024-05-02,3608.2195889499894,3429.892643575719,3786.9660896530013
841,2024-05-03,3604.0057130967066,3424.5738525245247,3788.461377266762
842,2024-05-06,3596.7595127118598,3400.9422323827307,3787.909958063927
843,2024-05-07,3594.400865861673,3406.769044402082,3770.302726177864
844,2024-05-08,3597.438814565681,3413.672175665973,3785.3398019420456
845,2024-05-09,3597.1682343560283,3409.3957669063643,3791.507463867264
846,2024-05-10,3594.9558807459766,3397.829779685181,3791.900887190923
847,2024-05-13,3593.4984105019644,3398.756481399813,3771.533523157694
848,2024-05-14,3592.9463235930616,3407.609546543834,3792.9078519066006
849,2024-05-15,3597.7056567415148,3399.5605667002123,3789.274482812372
850,2024-05-16,3599.058443919862,3403.0178014599014,3800.842897651269
851,2024-05-17,3598.359718293761,3404.03750908882,3798.2804158402437
852,2024-05-20,3600.6882612459904,3406.479615287086,3796.10285012717
853,2024-05-21,3601.122782653027,3390.4104609509236,3808.879209422525
854,2024-05-22,3606.7240452712113,3396.5925618608944,3809.7849491449138
855,2024-05-23,3608.7732300265757,3403.1625264675613,3811.1772756353053
856,2024-05-24,3608.626949107715,3388.262747414871,3816.0372407223012
857,2024-05-27,3611.8029248797607,3401.3574551995866,3832.878766388677
858,2024-05-28,3612.280528804881,3394.5422659648,3813.9552587844396
859,2024-05-29,3617.8264395232804,3403.193500667934,3845.1224773693016
860,2024-05-30,3619.7377729704785,3411.6657619249345,3826.3762055870707
861,2024-05-31,3619.3887829400383,3396.5386397382013,3824.683811491234
862,2024-06-03,3621.760914676184,3403.402692728575,3843.0184306176193
863,2024-06-04,3621.972087139993,3400.504422450592,3831.6689238737354
864,2024-06-05,3627.2849496396793,3403.328247863096,3841.0258372856556
865,2024-06-06,3629.014540575751,3401.949784066012,3854.4109064549084
866,2024-06-07,3628.5511301192337,3397.8000798849034,3860.6372245648154
867,2024-06-10,3631.104366343739,3411.248020367924,3882.0063559845703
868,2024-06-11,3631.574401136189,3389.1416641442675,3865.755427287571
869,2024-06-12,3637.247771913662,3405.8434238279183,3876.065531417084
870,2024-06-13,3639.434816581976,3411.4915774589585,3873.3757268118243
871,2024-06-14,3639.516912047125,3405.6346687626215,3888.3751445620333
872,2024-06-17,3644.0860720680744,3406.44533919107,3877.275086837288
873,2024-06-18,3645.2871078186627,3408.6108113433506,3885.051072999614
874,2024-06-19,3651.680046240096,3404.0710388215043,3896.7082960006214
875,2024-06-20,3654.5476495473454,3424.9132577559567,3902.228361473767
876,2024-06-21,3655.2427801808117,3408.9992870013825,3900.0306881971374
877,2024-06-24,3660.9650477483897,3419.5504220125363,3920.717945777739
878,2024-06-25,3662.236014797996,3425.396718164935,3923.5159878186955
879,2024-06-26,3668.5059033893813,3410.7796433661083,3914.0320857352413
880,2024-06-27,3671.0421093656564,3416.111649167919,3911.6362057880315
881,2024-06-28,3671.187266140472,3407.6823401229517,3928.220497874643
882,2024-07-01,3673.9351509021412,3431.6138503497286,3938.348044945167
883,2024-07-02,3673.8013059937152,3409.478225534877,3922.5594754684485
884,2024-07-03,3678.4905781582324,3411.2649531136685,3932.564080941955
885,2024-07-04,3679.298795596026,3426.600176990136,3938.310847135925
886,2024-07-05,3677.6031609510887,3409.2464052774976,3944.601854978292
887,2024-07-08,3674.5760400999725,3416.993240575432,3930.0879725319883
888,2024-07-09,3672.5944414373294,3408.0527412363767,3934.4439556383636
889,2024-07-10,3675.5616139693257,3412.305834048494,3942.212088230466
890,2024-07-11,3674.826825094432,3418.110897930226,3941.181274596193
891,2024-07-12,3671.8196808281373,3401.347085004547,3945.147528796188
892,2024-07-15,3666.7269100470453,3393.3873555633686,3955.764026374187
893,2024-07-16,3664.8157449548426,3403.7146311034526,3953.5872354561725
894,2024-07-17,3668.284637087847,3388.1018102674366,3962.3019335636855
895,2024-07-18,3668.5019983026878,3387.7601316446476,3956.077156862143
896,2024-07-19,3666.9074636172404,3399.8611520996733,3960.4037027800637
897,2024-07-22,3668.768607058118,3379.8598177523268,3959.799341585626
898,2024-07-23,3670.0150071188546,3384.1057956336317,3969.126256424483
899,2024-07-24,3677.003811145555,3399.5568634669717,3975.559246665931
900,2024-07-25,3681.0552415499737,3394.2480108777654,3981.707071471969
901,2024-07-26,3683.5527263125887,3396.001121666483,3980.436853032307
902,2024-07-29,3698.5797305177643,3405.5014752574484,3994.67390964478
903,2024-07-30,3704.269882590196,3414.0012168731855,4002.562478067692
904,2024-07-31,3715.6036875031864,3436.014070349139,4029.6041852275107
905,2024-08-01,3723.8257612990747,3427.470305768203,4025.723757444208
906,2024-08-02,3730.2464585271186,3449.0307706370263,4044.858775554059
907,2024-08-05,3754.90057206812,3450.9692167226767,4080.616306795265
908,2024-08-06,3762.9011458157697,3485.245262147018,4074.9380866516376
909,2024-08-07,3776.0258587410544,3477.861830530457,4087.4773352704074
910,2024-08-08,3785.4925929815595,3479.250763513668,4098.092768470929
911,2024-08-09,3792.596239747475,3494.7719179171368,4119.429647314964
912,2024-08-12,3815.949127550659,3508.25424447071,4151.0928863910085
913,2024-08-13,3822.463556811021,3510.5629604749975,4139.936050199049
914,2024-08-14,3833.635181815747,3537.267703170672,4162.973114875406
915,2024-08-15,3840.731963390378,3518.2589837461037,4165.789151421558
916,2024-08-16,3845.1069428309047,3531.094408802454,4175.015444486986
917,2024-08-19,3858.793148450056,3532.0391406446565,4191.112291446861
918,2024-08-20,3861.8341058940687,3549.544183512472,4198.631717324818
919,2024-08-21,3869.53084571467,3552.0636410675156,4218.364202031102
920,2024-08-22,3873.223918148826,3559.760238906201,4240.711785784244
921,2024-08-23,3874.3352209130835,3556.470100816838,4215.036490962021
922,2024-08-26,3879.6702513024147,3553.5783581360574,4244.303322517046
923,2024-08-27,3880.5682977379906,3548.60598292302,4225.293308275798
924,2024-08-28,3886.4997476766084,3538.858499103635,4235.506650854996
925,2024-08-29,3888.824013869442,3543.5164173377943,4249.412119396031
926,2024-08-30,3888.9710227492174,3550.939723120843,4255.3551979378835
927,2024-09-02,3893.7599329817444,3558.360402156544,4233.057439962781
928,2024-09-03,3895.181058972305,3559.5691236776884,4275.107413928929
929,2024-09-04,3901.92715838414,3545.0402784751695,4259.2980406904235
930,2024-09-05,3905.3098701152817,3569.1974374471756,4268.551420255646
931,2024-09-06,3906.7057467706654,3546.583034730422,4268.161914334199
932,2024-09-09,3915.7980978816736,3558.7830146048573,4278.9561899699
933,2024-09-10,3918.6379570231206,3555.917813231359,4307.942000616138
934,2024-09-11,3926.6967589066035,3571.839360620873,4294.839407141688
935,2024-09-12,3931.231952205166,3588.340974730243,4306.54989086369
936,2024-09-13,3933.570956849303,3564.413064510362,4314.291620914851
937,2024-09-16,3943.844145856836,3565.4622122119754,4318.040909030611
938,2024-09-17,3946.4359958769874,3575.5409388312,4325.013302087086
939,2024-09-18,3953.901061065612,3562.9781009521425,4322.2876022176715
940,2024-09-19,3957.494910091721,3567.6274966993938,4347.357097610201
941,2024-09-20,3958.551598148163,3564.7399180217535,4350.6325465129485
942,2024-09-23,3963.1151010026692,3588.6132265998212,4365.959174769341
943,2024-09-24,3963.2772504080936,3590.3451961617875,4350.430280576865
944,2024-09-25,3968.1097959936146,3600.612630661542,4364.552560431166
945,2024-09-26,3968.9100397785105,3595.188174923593,4361.70704977802
946,2024-09-27,3967.05567210329,3595.2707260210714,4377.144055159612
947,2024-09-30,3962.6196144309897,3582.7997786352157,4371.780562089939
948,2024-10-01,3959.8315153502276,3550.2520224661203,4361.492721196584
949,2024-10-02,3961.800257127892,3575.1763375502665,4366.7155592727295
950,2024-10-03,3959.853759686435,3577.3728741485074,4373.925824041666
951,2024-10-04,3955.395188338235,3557.4037856532295,4373.537013906429
952,2024-10-07,3944.172849643441,3536.486634123037,4361.561647942754
953,2024-10-08,3939.4937086100695,3522.2776082569244,4356.596240357303
954,2024-10-09,3939.758208439427,3515.520232200298,4369.053916149118
955,2024-10-10,3936.2881551958067,3536.793540585562,4376.073250290482
956,2024-10-11,3930.4770132373524,3530.268998006609,4347.538939990594
957,2024-10-14,3916.0912263929335,3509.013360135877,4347.972895795323
958,2024-10-15,3910.607272002867,3509.558199407089,4343.048662152001
959,2024-10-16,3910.1689053908917,3488.1206037910165,4341.718448188301
960,2024-10-17,3906.087058551413,3493.126004077702,4344.188414486358
961,2024-10-18,3899.7474557380483,3486.1603576019234,4354.51557050537
962,2024-10-21,3884.259663989033,3466.368351292701,4345.569694143225
963,2024-10-22,3878.587167366936,3440.918656163329,4347.863773559043
964,2024-10-23,3878.070625513635,3431.861175932785,4358.8091883828565
965,2024-10-24,3874.04055184884,3441.174771155045,4320.102231565411
966,2024-10-25,3867.906321203082,3428.6558228737017,4343.273252592028
967,2024-10-28,3854.237654159266,3424.760204759832,4329.61297225052
